t=2026-04-10T13:22:37+0200 lvl=info msg="no configuration paths supplied"
t=2026-04-10T13:22:37+0200 lvl=info msg="using configuration at default config path" path=/home/franco/.config/ngrok/ngrok.yml
t=2026-04-10T13:22:37+0200 lvl=info msg="open config file" path=/home/franco/.config/ngrok/ngrok.yml err=nil
t=2026-04-10T13:22:37+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-10T13:22:37+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-10T13:22:38+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-10T13:22:38+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-10T13:22:39+0200 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://ee9c-196-210-34-153.ngrok-free.app
t=2026-04-10T13:23:00+0200 lvl=info msg=start pg=/api/tunnels id=09a2b30ee5c7a442
t=2026-04-10T13:23:00+0200 lvl=info msg=end pg=/api/tunnels id=09a2b30ee5c7a442 status=200 dur=1.491229ms
t=2026-04-10T13:42:57+0200 lvl=info msg="join connections" obj=join id=08f829df6b01 l=127.0.0.1:3000 r=91.108.5.138:29216
t=2026-04-10T13:53:32+0200 lvl=info msg="join connections" obj=join id=f0c7d50bc33b l=127.0.0.1:3000 r=91.108.5.138:53074
t=2026-04-10T13:55:31+0200 lvl=info msg="join connections" obj=join id=93474c8f8c84 l=127.0.0.1:3000 r=91.108.5.138:34624
t=2026-04-10T14:00:19+0200 lvl=info msg="join connections" obj=join id=1f691bbef5cd l=127.0.0.1:3000 r=91.108.5.138:20966
t=2026-04-10T15:24:00+0200 lvl=info msg="join connections" obj=join id=e804681e005b l=127.0.0.1:3000 r=91.108.5.138:30018
t=2026-04-10T15:36:46+0200 lvl=info msg="join connections" obj=join id=6f5ea806cf8a l=127.0.0.1:3000 r=91.108.5.138:22820
t=2026-04-10T15:41:47+0200 lvl=info msg="join connections" obj=join id=21032916d2e2 l=127.0.0.1:3000 r=91.108.5.138:26652
t=2026-04-10T16:05:03+0200 lvl=info msg=start pg=/grpc/agent.Web/Clear id=94edd56908b7cbcf
t=2026-04-10T16:05:03+0200 lvl=info msg=end pg=/grpc/agent.Web/Clear id=94edd56908b7cbcf status=200 dur=692.688µs
t=2026-04-10T16:08:47+0200 lvl=info msg="join connections" obj=join id=4f013da9a501 l=127.0.0.1:3000 r=91.108.5.138:29442
t=2026-04-10T16:13:35+0200 lvl=info msg="join connections" obj=join id=c4e214e4af26 l=127.0.0.1:3000 r=91.108.5.138:46970
t=2026-04-10T16:23:25+0200 lvl=info msg="join connections" obj=join id=9c734a7694f2 l=127.0.0.1:3000 r=91.108.5.138:59260
t=2026-04-10T16:25:58+0200 lvl=info msg="join connections" obj=join id=93bcd4548016 l=127.0.0.1:3000 r=91.108.5.138:30806
t=2026-04-10T16:27:38+0200 lvl=info msg="join connections" obj=join id=13bcbc08ba72 l=127.0.0.1:3000 r=91.108.5.138:45830
t=2026-04-10T16:31:13+0200 lvl=info msg="join connections" obj=join id=0911d9ff4efb l=127.0.0.1:3000 r=91.108.5.138:45384
t=2026-04-10T16:40:35+0200 lvl=info msg="join connections" obj=join id=f0f80f7bc4ab l=127.0.0.1:3000 r=91.108.5.138:48528
t=2026-04-10T16:42:06+0200 lvl=info msg="join connections" obj=join id=ed4a79afa22a l=127.0.0.1:3000 r=91.108.5.138:46016
t=2026-04-10T16:43:31+0200 lvl=info msg="join connections" obj=join id=369f355dd9ad l=127.0.0.1:3000 r=91.108.5.138:53762
t=2026-04-10T16:43:44+0200 lvl=info msg="join connections" obj=join id=095ac9c982e6 l=127.0.0.1:3000 r=91.108.5.138:53762
t=2026-04-10T17:18:57+0200 lvl=info msg="join connections" obj=join id=ac011dbc04f2 l=127.0.0.1:3000 r=196.210.34.153:50902
t=2026-04-10T17:19:01+0200 lvl=info msg="join connections" obj=join id=6671be0d6f9f l=127.0.0.1:3000 r=196.210.34.153:50902
t=2026-04-10T17:19:13+0200 lvl=info msg="join connections" obj=join id=16fea4c15359 l=127.0.0.1:3000 r=196.210.34.153:46340
t=2026-04-10T17:19:17+0200 lvl=info msg="join connections" obj=join id=94238b50d7fb l=127.0.0.1:3000 r=196.210.34.153:46340
t=2026-04-10T17:19:18+0200 lvl=info msg="join connections" obj=join id=441158126f31 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=922d72b25678 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=c6073d380a24 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=5e58c9aebd7a l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=cc11b65fcbad l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=68d7c53951a6 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=de54d9d7092c l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=427663c65722 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=b52122c883d9 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=bf49bf2666c6 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=8a5248531e7b l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=8e0cc9f0f63c l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=4cedd304e18c l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=bd1b156a2910 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=16caf1e86ef5 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:20+0200 lvl=info msg="join connections" obj=join id=da4dc8bca362 l=127.0.0.1:3000 r=196.210.34.153:46352
t=2026-04-10T17:20:24+0200 lvl=info msg="join connections" obj=join id=be781c70815e l=127.0.0.1:3000 r=196.210.34.153:53596
t=2026-04-10T17:20:27+0200 lvl=info msg="join connections" obj=join id=7ac76d2d362e l=127.0.0.1:3000 r=196.210.34.153:53606
t=2026-04-10T17:20:29+0200 lvl=info msg="join connections" obj=join id=d95859efe9c2 l=127.0.0.1:3000 r=196.210.34.153:53614
t=2026-04-10T17:20:33+0200 lvl=info msg="join connections" obj=join id=54673a262136 l=127.0.0.1:3000 r=196.210.34.153:33708
t=2026-04-10T17:20:52+0200 lvl=info msg="join connections" obj=join id=6aa19a706cd0 l=127.0.0.1:3000 r=196.210.34.153:33714
t=2026-04-10T17:22:16+0200 lvl=info msg="join connections" obj=join id=bf91f54acf86 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=a663c8da4c9b l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=becf054209b5 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=de3c3ea3e5c0 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=7fd0221c104d l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=623eece7d744 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=d2528ee6bb7d l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=d548fb0e74cd l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=a2ff58eb8ade l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=8bdd3e1da0fb l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=3f3724d468d5 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=886f24dd9344 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=4ed6a8e75a81 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=6e69237eb56b l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=cd9e5dc8239d l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:18+0200 lvl=info msg="join connections" obj=join id=19b4ed6996c8 l=127.0.0.1:3000 r=196.210.34.153:51452
t=2026-04-10T17:22:25+0200 lvl=info msg="join connections" obj=join id=94c92ce4efaf l=127.0.0.1:3000 r=196.210.34.153:40184
t=2026-04-10T17:22:28+0200 lvl=info msg="join connections" obj=join id=817ca967c40e l=127.0.0.1:3000 r=196.210.34.153:40190
t=2026-04-10T17:22:31+0200 lvl=info msg="join connections" obj=join id=40aaa1f1e555 l=127.0.0.1:3000 r=196.210.34.153:53626
t=2026-04-10T17:22:34+0200 lvl=info msg="join connections" obj=join id=17453dd0396b l=127.0.0.1:3000 r=196.210.34.153:53632
t=2026-04-10T17:22:36+0200 lvl=info msg="join connections" obj=join id=a5a7d55ff25d l=127.0.0.1:3000 r=196.210.34.153:53640
t=2026-04-10T17:22:39+0200 lvl=info msg="join connections" obj=join id=f5af7363f6bd l=127.0.0.1:3000 r=196.210.34.153:53642
t=2026-04-10T17:22:46+0200 lvl=info msg="join connections" obj=join id=880be82a573a l=127.0.0.1:3000 r=196.210.34.153:49226
t=2026-04-10T17:22:53+0200 lvl=info msg="join connections" obj=join id=b803c0a54d65 l=127.0.0.1:3000 r=196.210.34.153:48186
t=2026-04-10T17:23:01+0200 lvl=info msg="join connections" obj=join id=595493343213 l=127.0.0.1:3000 r=196.210.34.153:48198
t=2026-04-10T17:23:08+0200 lvl=info msg="join connections" obj=join id=ca11b6b16488 l=127.0.0.1:3000 r=196.210.34.153:43034
t=2026-04-10T17:23:15+0200 lvl=info msg="join connections" obj=join id=12597e33dd17 l=127.0.0.1:3000 r=196.210.34.153:45970
